stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
22-23,ATS_Montagna,NO2,2023,2,W02/2023,15,134,6.5261,5.5973,0.6857,29.7000,8.6340,3.9500
22-23,ATS_Montagna,NO2,2023,3,W03/2023,16,134,5.8882,4.6449,1.5000,27.6571,7.9099,3.9082
22-23,ATS_Montagna,NO2,2023,4,W04/2023,17,134,8.7408,6.6705,0.9571,32.9571,10.7583,5.1954
22-23,ATS_Montagna,NO2,2023,5,W05/2023,18,134,4.6489,4.5567,0.4143,24.4857,6.5591,2.6354
22-23,ATS_Montagna,NO2,2023,6,W06/2023,19,134,9.0431,6.1944,1.1571,33.6429,10.8080,5.5787
22-23,ATS_Montagna,NO2,2023,7,W07/2023,20,134,9.4780,7.3789,0.9000,35.3714,11.5231,5.4885
22-23,ATS_Montagna,NO2,2023,8,W08/2023,21,134,8.7597,5.7141,1.3857,31.7571,10.6503,5.5401
22-23,ATS_Montagna,NO2,2023,9,W09/2023,22,134,6.7756,4.5062,0.8857,25.5000,8.1502,4.1270
22-23,ATS_Montagna,NO2,2023,10,W10/2023,23,134,4.0949,3.4094,0.4000,20.6286,5.1121,2.4244
22-23,ATS_Montagna,NO2,2023,11,W11/2023,24,134,4.4178,3.1212,0.6143,18.0429,5.2953,2.7913
22-23,ATS_Montagna,NO2,2023,12,W12/2023,25,134,4.3489,3.4539,0.4714,21.1000,5.2699,2.6125
22-23,ATS_Montagna,NO2,2023,13,W13/2023,26,134,3.0971,2.6113,0.5286,15.3286,3.9201,1.9252
22-23,ATS_Montagna,NO2,2023,14,W14/2023,27,134,3.2946,2.5824,0.4286,16.7714,4.0068,2.0103
22-23,ATS_Montagna,NO2,2023,15,W15/2023,28,134,2.8949,2.1663,0.6429,13.7286,3.6076,1.8951
22-23,ATS_Montagna,NO2,2023,16,W16/2023,29,134,3.1408,2.2288,0.6000,14.3571,3.7781,2.0417
23-24,ATS_Montagna,NO2,2023,40,W40/2023,1,134,3.8166,2.7881,0.3857,18.1714,4.6156,2.3402
23-24,ATS_Montagna,NO2,2023,41,W41/2023,2,134,4.2189,2.8851,0.4000,17.7571,4.9536,2.5484
23-24,ATS_Montagna,NO2,2023,42,W42/2023,3,134,5.7618,3.1340,0.9571,18.8286,6.5587,3.7990
23-24,ATS_Montagna,NO2,2023,43,W43/2023,4,134,3.9580,2.5897,0.6143,16.0143,4.6321,2.5261
23-24,ATS_Montagna,NO2,2023,44,W44/2023,5,134,4.2054,2.5275,0.7857,15.2429,5.0214,2.8046
23-24,ATS_Montagna,NO2,2023,45,W45/2023,6,134,4.9699,3.3717,0.6857,18.5286,6.0846,3.1058
23-24,ATS_Montagna,NO2,2023,46,W46/2023,7,134,4.8248,3.6477,0.7286,21.6857,6.1485,3.0063
23-24,ATS_Montagna,NO2,2023,47,W47/2023,8,134,5.1143,4.0565,1.1143,25.0714,6.5684,3.3348
23-24,ATS_Montagna,NO2,2023,48,W48/2023,9,134,7.2215,3.8942,2.1000,22.1714,8.7319,5.1580
23-24,ATS_Montagna,NO2,2023,49,W49/2023,10,134,8.0144,5.3833,1.1143,27.1286,9.9549,4.9631
23-24,ATS_Montagna,NO2,2023,50,W50/2023,11,134,6.5251,4.4609,1.2714,24.4143,8.0933,4.2170
23-24,ATS_Montagna,NO2,2023,51,W51/2023,12,134,5.2969,4.7267,0.6286,25.0857,6.9309,3.0049
23-24,ATS_Montagna,NO2,2023,52,W52/2023,13,134,9.0128,6.0489,0.7714,31.9857,10.8907,5.5281
23-24,ATS_Montagna,NO2,2024,1,W01/2024,14,134,5.6730,3.9499,1.0571,20.5000,6.7245,3.8656
23-24,ATS_Montagna,NO2,2024,2,W02/2024,15,134,8.8694,5.7391,0.8714,28.0000,9.9807,5.7291
23-24,ATS_Montagna,NO2,2024,3,W03/2024,16,134,6.4584,4.7310,0.8143,25.1429,7.7710,4.0964
23-24,ATS_Montagna,NO2,2024,4,W04/2024,17,134,5.7220,5.3325,0.4714,31.4143,6.8870,3.2250
23-24,ATS_Montagna,NO2,2024,5,W05/2024,18,134,8.3713,6.6517,0.5571,32.7429,10.1057,4.7818
23-24,ATS_Montagna,NO2,2024,6,W06/2024,19,134,6.1539,4.7617,0.6000,24.0857,7.3846,3.6403
23-24,ATS_Montagna,NO2,2024,7,W07/2024,20,134,8.0489,5.7106,0.6429,30.1286,9.4963,4.7510
23-24,ATS_Montagna,NO2,2024,8,W08/2024,21,134,4.8466,3.5687,0.6571,20.3143,5.9051,2.9588
23-24,ATS_Montagna,NO2,2024,9,W09/2024,22,134,4.2688,3.2334,0.5286,19.4143,5.0061,2.6050
23-24,ATS_Montagna,NO2,2024,10,W10/2024,23,134,4.1016,2.6907,0.8571,16.2286,4.7441,2.7587
23-24,ATS_Montagna,NO2,2024,11,W11/2024,24,134,3.8393,2.7763,0.4286,15.8286,4.6018,2.3710
23-24,ATS_Montagna,NO2,2024,12,W12/2024,25,134,3.6886,2.6196,0.4143,14.9000,4.3926,2.2582
